Definiere: Marke	"Ein Zeichen, das geeignet ist, Waren oder Dienstleistungen eines Unternehmens von denjenigen anderer Unternehmen zu unterscheiden (<a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 Abs. 1 MarkenG</a>). Schutz entsteht durch Eintragung, Verkehrsgeltung oder notorische Bekanntheit (<a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>).<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32015L2436"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 1 MarkenRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__1.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 1 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__3.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 3 MarkenG</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__4.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 4 MarkenG</a>"	Begriff Grundlagen
EuGH „Tommy Hilfiger/Delta Center“ (C-494/15, 2016) – Kernaussage?	"Der Mieter einer Markthalle, der Verkaufsflächen an Händler untervermietet, die dort Fälschungen verkaufen, ist „Mittelsperson, deren Dienste von einem Dritten zwecks Verletzung in Anspruch genommen werden“ im Sinne von <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 11 S. 3 DurchsetzungsRL</a>. Die in L'Oréal/eBay für Online-Marktplätze entwickelten Voraussetzungen für Anordnungen gelten für Betreiber physischer Marktplätze gleichermaßen.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 11 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__14.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 14 Abs. 5 MarkenG</a><br>Fundstelle: GRUR 2016, 1062"	Rechtsprechung EuGH Durchsetzung Mittelspersonen
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>Der Mieter einer Markthalle, der Verkaufsflächen an Händler untervermietet, die dort Fälschungen verkaufen, ist „Mittelsperson, deren Dienste von einem Dritten zwecks Verletzung in Anspruch genommen werden“ im Sinne von <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 11 S. 3 DurchsetzungsRL</a>. Die in L'Oréal/eBay für Online-Marktplätze entwickelten Voraussetzungen für Anordnungen gelten für Betreiber physischer Marktplätze gleichermaßen."	EuGH „Tommy Hilfiger/Delta Center“ – C-494/15 (2016), GRUR 2016, 1062	Rechtsprechung Umkehr EuGH Durchsetzung Mittelspersonen
EuGH „United Video Properties/Telenet“ (C-57/15, 2016) – Kernaussage?	"<a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 14 DurchsetzungsRL</a> steht Pauschaltarifen für die Erstattung von Anwaltskosten nicht entgegen, sofern die Höchstbeträge gewährleisten, dass ein erheblicher und angemessener Teil der zumutbaren Kosten des Obsiegenden erstattet wird. Kosten eines technischen Beraters sind „sonstige Kosten“; ihre Erstattung darf nicht von einem Verschulden des Unterlegenen abhängen, wenn sie für die Klage unmittelbar und eng erforderlich waren.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 14 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__140.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 140 Abs. 4 MarkenG</a>"	Rechtsprechung EuGH Durchsetzung Kosten
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br><a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 14 DurchsetzungsRL</a> steht Pauschaltarifen für die Erstattung von Anwaltskosten nicht entgegen, sofern die Höchstbeträge gewährleisten, dass ein erheblicher und angemessener Teil der zumutbaren Kosten des Obsiegenden erstattet wird. Kosten eines technischen Beraters sind „sonstige Kosten“; ihre Erstattung darf nicht von einem Verschulden des Unterlegenen abhängen, wenn sie für die Klage unmittelbar und eng erforderlich waren."	EuGH „United Video Properties/Telenet“ – C-57/15 (2016), 	Rechtsprechung Umkehr EuGH Durchsetzung Kosten
EuGH „NEW WAVE CZ/ALLTOYS“ (C-427/15, 2017) – Kernaussage?	"Das Auskunftsrecht des <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 1 DurchsetzungsRL</a> kann auch in einem gesonderten Verfahren nach rechtskräftigem Abschluss des Verletzungsprozesses geltend gemacht werden. „Im Zusammenhang mit einem Verfahren wegen Verletzung“ ist weit auszulegen, weil das Auskunftsrecht der wirksamen Ausübung des Grundrechts auf geistiges Eigentum dient.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 1 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 MarkenG</a>"	Rechtsprechung EuGH Durchsetzung Auskunft
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>Das Auskunftsrecht des <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 1 DurchsetzungsRL</a> kann auch in einem gesonderten Verfahren nach rechtskräftigem Abschluss des Verletzungsprozesses geltend gemacht werden. „Im Zusammenhang mit einem Verfahren wegen Verletzung“ ist weit auszulegen, weil das Auskunftsrecht der wirksamen Ausübung des Grundrechts auf geistiges Eigentum dient."	EuGH „NEW WAVE CZ/ALLTOYS“ – C-427/15 (2017), 	Rechtsprechung Umkehr EuGH Durchsetzung Auskunft
EuGH „OTK/Stowarzyszenie Filmowców Polskich“ (C-367/15, 2017) – Kernaussage?	"Die Durchsetzungsrichtlinie ist Mindestharmonisierung (Art. 2 Abs. 1). Art. 13 steht einer nationalen Regelung nicht entgegen, nach der der Verletzte ohne Nachweis des tatsächlichen Schadens pauschal das Doppelte der angemessenen Lizenzgebühr verlangen kann. Erwägungsgrund 26 verbietet keinen Strafschadensersatz, sondern schließt nur eine Verpflichtung dazu aus.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 13 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 2 DurchsetzungsRL</a>"	Rechtsprechung EuGH Durchsetzung Schadensersatz
Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>Die Durchsetzungsrichtlinie ist Mindestharmonisierung (Art. 2 Abs. 1). Art. 13 steht einer nationalen Regelung nicht entgegen, nach der der Verletzte ohne Nachweis des tatsächlichen Schadens pauschal das Doppelte der angemessenen Lizenzgebühr verlangen kann. Erwägungsgrund 26 verbietet keinen Strafschadensersatz, sondern schließt nur eine Verpflichtung dazu aus.	EuGH „OTK/Stowarzyszenie Filmowców Polskich“ – C-367/15 (2017), 	Rechtsprechung Umkehr EuGH Durchsetzung Schadensersatz
EuGH „Bayer Pharma/Richter Gedeon“ (C-688/17, 2019) – Kernaussage?	"„Angemessener Ersatz“ nach <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 Abs. 7 DurchsetzungsRL</a> für Schäden aus einer später aufgehobenen einstweiligen Maßnahme ist kein automatischer Vollersatz: Das nationale Gericht darf alle Umstände würdigen, insbesondere ob der Antragsgegner durch den Markteintritt trotz laufenden Schutzrechts das Risiko selbst geschaffen hat. Die verschuldensunabhängige Haftung des <a href=""https://www.gesetze-im-internet.de/zpo/__945.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 945 ZPO</a> geht darüber hinaus und bleibt als günstigere Regelung zulässig.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 Abs. 7 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 DurchsetzungsRL</a>"	Rechtsprechung EuGH Durchsetzung Einstweilige_Verfügung
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>„Angemessener Ersatz“ nach <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 9 Abs. 7 DurchsetzungsRL</a> für Schäden aus einer später aufgehobenen einstweiligen Maßnahme ist kein automatischer Vollersatz: Das nationale Gericht darf alle Umstände würdigen, insbesondere ob der Antragsgegner durch den Markteintritt trotz laufenden Schutzrechts das Risiko selbst geschaffen hat. Die verschuldensunabhängige Haftung des <a href=""https://www.gesetze-im-internet.de/zpo/__945.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 945 ZPO</a> geht darüber hinaus und bleibt als günstigere Regelung zulässig."	EuGH „Bayer Pharma/Richter Gedeon“ – C-688/17 (2019), 	Rechtsprechung Umkehr EuGH Durchsetzung Einstweilige_Verfügung
EuGH „Constantin Film Verleih/YouTube“ (C-264/19, 2020) – Kernaussage?	"„Adressen“ im Sinne von <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 2 lit. a DurchsetzungsRL</a> meint nur die Postanschrift, nicht E-Mail-Adresse, Telefonnummer oder IP-Adresse des Nutzers, der rechtsverletzende Dateien hochgeladen hat. Die Mitgliedstaaten dürfen weitergehende Auskunftsrechte vorsehen (Art. 8 Abs. 3 lit. a), müssen dabei aber den Ausgleich der betroffenen Grundrechte wahren.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 2 lit. a DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__19.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 19 Abs. 3 MarkenG</a><br>Fundstelle: GRUR 2020, 840"	Rechtsprechung EuGH Durchsetzung Auskunft Plattformen
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>„Adressen“ im Sinne von <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 Abs. 2 lit. a DurchsetzungsRL</a> meint nur die Postanschrift, nicht E-Mail-Adresse, Telefonnummer oder IP-Adresse des Nutzers, der rechtsverletzende Dateien hochgeladen hat. Die Mitgliedstaaten dürfen weitergehende Auskunftsrechte vorsehen (Art. 8 Abs. 3 lit. a), müssen dabei aber den Ausgleich der betroffenen Grundrechte wahren."	EuGH „Constantin Film Verleih/YouTube“ – C-264/19 (2020), GRUR 2020, 840	Rechtsprechung Umkehr EuGH Durchsetzung Auskunft Plattformen
EuGH „Mircom/Telenet“ (C-597/19, 2021) – Kernaussage?	"Auch ein Zessionar, der Rechte nur erwirbt, um Verletzer abzumahnen, kann Inhaber im Sinne von <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 lit. a DurchsetzungsRL</a> sein und Auskunft nach Art. 8 verlangen. Das Gericht muss aber prüfen, ob der Antrag begründet und verhältnismäßig ist und ob ein Rechtsmissbrauch nach Art. 3 Abs. 2 vorliegt; die Speicherung von IP-Adressen durch den Rechtsinhaber kann ein berechtigtes Interesse nach der DSGVO sein.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 8 DurchsetzungsRL</a>"	Rechtsprechung EuGH Durchsetzung Auskunft Missbrauch
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>Auch ein Zessionar, der Rechte nur erwirbt, um Verletzer abzumahnen, kann Inhaber im Sinne von <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 4 lit. a DurchsetzungsRL</a> sein und Auskunft nach Art. 8 verlangen. Das Gericht muss aber prüfen, ob der Antrag begründet und verhältnismäßig ist und ob ein Rechtsmissbrauch nach Art. 3 Abs. 2 vorliegt; die Speicherung von IP-Adressen durch den Rechtsinhaber kann ein berechtigtes Interesse nach der DSGVO sein."	EuGH „Mircom/Telenet“ – C-597/19 (2021), 	Rechtsprechung Umkehr EuGH Durchsetzung Auskunft Missbrauch
EuGH „Koch Media/FU“ (C-559/20, 2022) – Kernaussage?	"Kosten der außergerichtlichen Rechtsverfolgung, etwa Anwaltskosten einer Abmahnung, sind „sonstige Kosten“ im Sinne von <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 14 DurchsetzungsRL</a>. Eine nationale Deckelung des Gegenstandswerts (<a href=""https://www.gesetze-im-internet.de/urhg/__97a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 97a Abs. 3 UrhG</a>: 1.000 Euro gegenüber privaten Verletzern) ist zulässig, wenn sie dem Gericht erlaubt, in Fällen der Unbilligkeit davon abzuweichen und so Verhältnismäßigkeit und Billigkeit zu wahren.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 14 DurchsetzungsRL</a><br>Fundstelle: GRUR 2022, 849"	Rechtsprechung EuGH Durchsetzung Kosten Abmahnung
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br>Kosten der außergerichtlichen Rechtsverfolgung, etwa Anwaltskosten einer Abmahnung, sind „sonstige Kosten“ im Sinne von <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 14 DurchsetzungsRL</a>. Eine nationale Deckelung des Gegenstandswerts (<a href=""https://www.gesetze-im-internet.de/urhg/__97a.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 97a Abs. 3 UrhG</a>: 1.000 Euro gegenüber privaten Verletzern) ist zulässig, wenn sie dem Gericht erlaubt, in Fällen der Unbilligkeit davon abzuweichen und so Verhältnismäßigkeit und Billigkeit zu wahren."	EuGH „Koch Media/FU“ – C-559/20 (2022), GRUR 2022, 849	Rechtsprechung Umkehr EuGH Durchsetzung Kosten Abmahnung
EuGH „NovaText/Universität Heidelberg“ (C-531/20, 2022) – Kernaussage?	"<a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 und 14 DurchsetzungsRL</a> stehen einer nationalen Regelung oder ihrer Auslegung entgegen, nach der die Kosten der Mitwirkung eines Patentanwalts in einer Kennzeichenstreitsache ohne Prüfung der Erforderlichkeit stets zu erstatten sind (<a href=""https://www.gesetze-im-internet.de/markeng/__140.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 140 Abs. 3 MarkenG</a> a.F., heute Abs. 4). Das Gericht muss im Einzelfall prüfen können, ob die Kosten des Obsiegenden zumutbar und angemessen sind.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 14 DurchsetzungsRL</a>, <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__140.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 140 Abs. 4 MarkenG</a><br>Fundstelle: GRUR 2022, 853"	Rechtsprechung EuGH Durchsetzung Kosten Patentanwalt
"Welche Entscheidung (EuGH) steht für folgenden Grundsatz?<br><br><a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3 und 14 DurchsetzungsRL</a> stehen einer nationalen Regelung oder ihrer Auslegung entgegen, nach der die Kosten der Mitwirkung eines Patentanwalts in einer Kennzeichenstreitsache ohne Prüfung der Erforderlichkeit stets zu erstatten sind (<a href=""https://www.gesetze-im-internet.de/markeng/__140.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 140 Abs. 3 MarkenG</a> a.F., heute Abs. 4). Das Gericht muss im Einzelfall prüfen können, ob die Kosten des Obsiegenden zumutbar und angemessen sind."	EuGH „NovaText/Universität Heidelberg“ – C-531/20 (2022), GRUR 2022, 853	Rechtsprechung Umkehr EuGH Durchsetzung Kosten Patentanwalt
BGH „Kosten des Patentanwalts VII“ (I ZB 59/19, 2022) – Kernaussage?	"<a href=""https://www.gesetze-im-internet.de/markeng/__140.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 140 Abs. 3 MarkenG</a> a.F. (heute Abs. 4) ist richtlinienkonform (<a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3, 14 DurchsetzungsRL</a>) dahin auszulegen, dass die Kosten der Mitwirkung eines Patentanwalts in einer Kennzeichenstreitsache nur erstattungsfähig sind, wenn die Mitwirkung zur zweckentsprechenden Rechtsverfolgung notwendig war; die Partei muss das darlegen und glaubhaft machen. Aufgabe der bisherigen Rechtsprechung, nach der die Notwendigkeit nicht geprüft wurde.<br><br>Normen: <a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 14 DurchsetzungsRL</a>, <a href=""https://www.gesetze-im-internet.de/markeng/__140.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 140 Abs. 4 MarkenG</a><br>Fundstelle: GRUR 2023, 446"	Rechtsprechung BGH Durchsetzung Kosten Patentanwalt Klausur_NS
"Welche Entscheidung (BGH) steht für folgenden Grundsatz?<br><br><a href=""https://www.gesetze-im-internet.de/markeng/__140.html"" target=""_blank"" rel=""noopener"" class=""lawlink"">§ 140 Abs. 3 MarkenG</a> a.F. (heute Abs. 4) ist richtlinienkonform (<a href=""https://eur-lex.europa.eu/legal-content/DE/TXT/?uri=CELEX:32004L0048R(01)"" target=""_blank"" rel=""noopener"" class=""lawlink"">Art. 3, 14 DurchsetzungsRL</a>) dahin auszulegen, dass die Kosten der Mitwirkung eines Patentanwalts in einer Kennzeichenstreitsache nur erstattungsfähig sind, wenn die Mitwirkung zur zweckentsprechenden Rechtsverfolgung notwendig war; die Partei muss das darlegen und glaubhaft machen. Aufgabe der bisherigen Rechtsprechung, nach der die Notwendigkeit nicht geprüft wurde."	BGH „Kosten des Patentanwalts VII“ – I ZB 59/19 (2022), GRUR 2023, 446	Rechtsprechung Umkehr BGH Durchsetzung Kosten Patentanwalt Klausur_NS
EPG-BerG „Sanofi/Amgen (Anlagen zur Klageschrift)“ (UPC_CoA_320/2023, 2023) – Kernaussage?	"Eine Klageschrift kann nach <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 271 VerfO</a> auch ohne die in Bezug genommenen Anlagen wirksam zugestellt werden, wenn der Beklagte seine Rechte auch ohne sie wahrnehmen kann. Lädt der Kläger die Anlagen entgegen <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 13.2 VerfO</a> nicht gleichzeitig ins CMS hoch, sind die Fristen für Einspruch (R. 19.1) und Klageerwiderung (R. 23) um den Zeitraum zu verlängern, in dem die Anlagen nicht verfügbar waren; auf Art und Inhalt der Anlagen kommt es nicht an.<br><br>Normen: <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 13.2 VerfO</a>, <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 19.1 VerfO</a>, <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 23 VerfO</a>, <a href=""https://www.unifiedpatentcourt.org/sites/default/files/upc_documents/Consolidated%20Rules%20of%20Procedure%20UPC_DE.pdf"" target=""_blank"" rel=""noopener"" class=""lawlink"">R. 271 VerfO</a><br>Fundstelle: EPG, UPC_CoA_320/2023"	Rechtsprechung EPG-BerG Zustellung Fristen
